feature	coefficient
fall	-0.00434532668904638
familyfriendly	0.0063915894280825
fastfood	-0.012471570683431292
fetacheese	0.0
filling	0.045934707684240884
fingerfood	0.04877794032409902
flaky	0.006449471416382246
french	0.007274512727241979
frenchcuisine	0.08394190850317955
frenchpastry	-0.010198264276345969
fresh	-0.00685507000098394
fried	0.06953855168207067
friedfood	-0.03524593290679409
friedrice	0.007136374661176742
fries	-0.034160807296906424
frosting	-0.01216427860323505
fruit	-0.03318778552424811
fudgy	0.0
gamedayfood	-0.021558904147407548
ganache	-0.015645586783437065
garlic	0.0666671537356861
ginger	0.0666671537356861
glutenfree	0.058075799676858046
goldenbrown	0.013994754951911735
greenbeans	0.019781416717318062
greenonion	0.0
greenonions	-0.07390556733947162
grill	0.09235016043130954
grilled	0.06162327382993672
grilling	0.05376463941748737
groundbeef	0.08023185335391658
gruyere	0.08394190850317955
gruyerecheese	0.0130292767117631
guacamole	-0.007650416998679915
hamandcheese	-0.0029723602165543242
hamburger	0.03323218204140294
handheld	0.038798333023064145
handtorndough	-0.029263683854556983
hawaii	0.03323218204140294
hawaiian	0.003254543168198197
healthy	0.008467831672221121
herbs	0.008551626638974984
holiday	0.009699955760462207
homemade	-0.011768184202413304
indulgent	0.003481308180202015
italian	0.13963631813527672
italiancuisine	-0.034166424902287586
jalapenos	-0.034160807296906424
japanesecuisine	0.025562671818652013
juicy	0.045760543002799275
ketchup	0.03323218204140294
keto	0.03616928912417126
kidfriendly	0.04877794032409902
koreancuisine	-0.029263683854556983
laminateddough	-0.0038949151067531156
lasagna	0.008108450829835606
lattice	0.004451689614872485
lettuce	0.14694022329936182
lime	-0.03581047651181493
loadednachos	0.012601903149498876
lowcarb	0.03616928912417126
lunch	0.020165651372939842
macandcheese	0.032434180203911464
maple	0.06191464413965183
maplesyrup	0.07838865501147976
masa	0.0
mayonnaise	0.03323218204140294
meal	-0.012471570683431292
mealprep	0.0
meat	-0.0009260686936320799
meatsauce	-0.03551400710649584
mexican	6.307296902366075e-05
mexicancuisine	-0.01450587618440902
mexicanfood	0.012601903149498876
middleeastern	0.0
miso	0.00969803613021876
muffins	0.0
mushroom	-0.042843340719734224
mushrooms	0.00969803613021876
nachos	-0.03300510284699034
noodles	-0.03260764157292441
noodlesoup	0.00969803613021876
nori	0.003254543168198197
numbing	0.0666671537356861
nutmeg	0.0009987566949981297
oat	-0.002587484698618518
oats	0.0008923937691720244
onion	-0.03581047651181493
onions	-0.007650416998679915
onthego	0.003254543168198197
oven	-0.00685507000098394
oysters	-0.03524593290679409
pacificislands	0.03323218204140294
pancakes	0.07838865501147976
parmesan	0.08394190850317955
partyfood	0.03470761713202783
pasta	0.17341808054339647
pastasauce	-0.03551400710649584
pastry	-0.03868247075406053
pastrycrust	0.0
peach	-0.004859987723099825
peanutbutter	-0.01216427860323505
peanutdressing	0.02230497429295729
peanuts	-0.03182592464476372
peppers	0.012418902162454388
pickledvegetables	-0.027015539986239172
pie	-0.012539046603138346
piecrust	0.0
pork	-0.03182592464476372
porkbelly	0.00969803613021876
potatoes	-0.08360360346969038
protein	0.0
puffpastry	-0.00685507000098394
quiche	-0.10806196841114962
quick	0.05920060627658404
ramen	0.00969803613021876
refreshing	0.0017578419904278615
relish	0.004849977880231106
rhubarb	0.0017578419904278615
rice	0.003254543168198197
ricevinegar	0.0
rich	-0.01040396415991879
ricotta	0.09814749316362052
salad	0.04366285511960663
salsa	0.01370746382796943
salty	0.032434180203911464
sandwich	0.06734244867414976
sauce	0.004849977880231101
savory	-0.0009252878108605457
scallions	0.03484122909092238
scallops	0.028391091788533784
seafood	0.017646114444670076
sesame	-0.00038325318789019246
sesameoil	0.0
sesameseeds	0.0
shrimp	0.05376463941748737
sichuancuisine	0.03484122909092238
sichuanpeppercorns	0.03484122909092238
sidedish	-0.0009277118189237703
sidedishes	0.019781416717318062
skewers	0.05376463941748737
smoky	0.08533109786788748
snack	-0.05601398421879033
snacks	-0.014379390579588362
sobanoodles	0.0034030416330698768
soft	0.013994754951911735
souffle	0.1934919036607476
soup	-0.029662147594827482
sourcream	-0.020453343468936992
southern	0.006908196479313479
southerncuisine	-0.03524593290679409
soysauce	0.05167563988231788
spam	0.03648672520960114
spices	0.008551626638974984
spicy	0.0006967085507355864
spicyfood	0.0
spinach	0.014265164404532099
spring	0.1690567301139535
steamed	0.0
stirfry	0.0
strawberry	0.0017578419904278615
streetfood	0.0
stuffedpeppers	0.0
summer	0.02785581075046073
sushi	0.003254543168198197
sweet	-0.022437514982367037
sweetandsalty	0.1258737107713087
sweetandsavory	0.1403032991511316
sweettreat	-0.006303349169592853
taco	0.021357880826649345
tacos	0.0
tangy	0.011457797750890068
tart	0.004849977880231101
tea	0.0005517208313910865
tempura	0.016263099428703753
tender	0.001523184268480443
texmex	0.012418902162454388
thanksgiving	0.009699955760462207
toast	0.06734244867414976
tomato	0.07086993330101014
tomatoes	-0.012802926470257079
tomatosauce	0.05752077271767782
tortilla	-0.020069319161134302
tortillabowl	0.021357880826649345
tortillachips	0.0
tortillas	-0.07118470130723599
traditional	0.0
twisted	-0.01040396415991879
udonnoodles	0.016263099428703753
vanilla	0.011206443335726806
vanillaicecream	0.0008923937691720244
vegan	-0.05511087291197284
vegetables	0.14692942092057326
vegetarian	0.03414065432448516
warm	-0.00685507000098394
whippedcream	0.0008923937691720244
winter	-0.00434532668904638
yeastdough	-0.01040396415991879
